회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,회원가입 사진 장 수,로그인 사진 장 수,분류율,,,로그인 1,로그인 2,로그인 4,로그인 10
,,,100,67.71875331,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
10,2,0,100,76.52684208,,,,,,,,,,,
10,2,1,100,69.03005961,,,,,,,,,,,
10,2,2,100,75.09783988,,,,,,,,,,,
10,2,3,100,70.16094072,,,,,,,,,,,
10,2,4,100,78.29582066,,,,,,,,,,,
10,2,5,100,78.25595554,,,,,,,,,,,
10,2,6,100,68.57598353,,,,,,,,,,,
10,2,7,100,78.32804173,,,,,,,,,,,
10,2,8,100,68.62180504,,,,,,,,,,,
10,2,9,100,70.63103649,,,,,,,,,,,
,,,100,73.35243253,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
10,4,0,100,77.25522397,,,,,,,,,,,
10,4,1,100,73.25548421,,,,,,,,,,,
10,4,2,100,77.5807465,,,,,,,,,,,
10,4,3,100,77.00347998,,,,,,,,,,,
10,4,4,100,73.64541135,,,,,,,,,,,
10,4,5,100,72.6648112,,,,,,,,,,,
10,4,6,100,71.07070128,,,,,,,,,,,
10,4,7,100,75.6745969,,,,,,,,,,,
10,4,8,100,76.53977201,,,,,,,,,,,
10,4,9,100,73.35209321,,,,,,,,,,,
,,,100,74.80423206,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
10,10,0,100,75.6215015,,,,,,,,,,,
10,10,1,100,71.27741906,,,,,,,,,,,
10,10,2,100,75.02636406,,,,,,,,,,,
10,10,3,100,72.61685831,,,,,,,,,,,
10,10,4,100,75.47982872,,,,,,,,,,,
10,10,5,100,76.27270762,,,,,,,,,,,
10,10,6,100,73.09071266,,,,,,,,,,,
10,10,7,100,71.97024361,,,,,,,,,,,
10,10,8,100,73.6955173,,,,,,,,,,,
10,10,9,100,74.42557526,,,,,,,,,,,
,,,100,73.94767281,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
20,1,0,100,87.15867742,,,,,,,,,,,
20,1,1,100,87.08497714,,,,,,,,,,,
20,1,2,100,70.82283292,,,,,,,,,,,
20,1,3,100,87.38925034,,,,,,,,,,,
20,1,4,100,86.34274702,,,,,,,,,,,
20,1,5,100,85.29442258,,,,,,,,,,,
20,1,6,100,85.16575161,,,,,,,,,,,
20,1,7,100,68.0609165,,,,,,,,,,,
20,1,8,100,87.62387673,,,,,,,,,,,
20,1,9,100,70.82283292,,,,,,,,,,,
,,,100,81.57662852,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
20,2,0,100,87.20801597,,,,,,,,,,,
20,2,1,100,87.01333183,,,,,,,,,,,
20,2,2,100,78.29118739,,,,,,,,,,,
20,2,3,100,86.43949219,,,,,,,,,,,
20,2,4,100,80.05751625,,,,,,,,,,,
20,2,5,100,85.07787011,,,,,,,,,,,
20,2,6,100,84.70783482,,,,,,,,,,,
20,2,7,100,87.44088974,,,,,,,,,,,
20,2,8,100,86.44067897,,,,,,,,,,,
20,2,9,100,87.24105479,,,,,,,,,,,
,,,100,84.99178721,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
20,4,0,100,86.45627516,,,,,,,,,,,
20,4,1,100,82.98140644,,,,,,,,,,,
20,4,2,100,82.48318224,,,,,,,,,,,
20,4,3,100,84.98908353,,,,,,,,,,,
20,4,4,100,87.08815935,,,,,,,,,,,
20,4,5,100,87.47081522,,,,,,,,,,,
20,4,6,100,85.46388736,,,,,,,,,,,
20,4,7,100,87.16278538,,,,,,,,,,,
20,4,8,100,86.26846987,,,,,,,,,,,
20,4,9,100,86.7028672,,,,,,,,,,,
,,,100,85.70669317,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
20,10,0,100,82.00814733,,,,,,,,,,,
20,10,1,100,83.53953905,,,,,,,,,,,
20,10,2,100,82.75514689,,,,,,,,,,,
20,10,3,100,83.78831096,,,,,,,,,,,
20,10,4,100,82.00803394,,,,,,,,,,,
20,10,5,100,85.17510485,,,,,,,,,,,
20,10,6,100,83.57774463,,,,,,,,,,,
20,10,7,100,81.92380498,,,,,,,,,,,
20,10,8,100,82.73543209,,,,,,,,,,,
20,10,9,100,84.35463208,,,,,,,,,,,
,,,100,83.18658968,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
30,1,0,100,82.43019383,,,,,,,,,,,
30,1,1,100,79.05511113,,,,,,,,,,,
30,1,2,100,90.29120225,,,,,,,,,,,
30,1,3,100,88.66602307,,,,,,,,,,,
30,1,4,100,80.30614061,,,,,,,,,,,
30,1,5,100,91.45002719,,,,,,,,,,,
30,1,6,100,77.96228461,,,,,,,,,,,
30,1,7,100,87.19745451,,,,,,,,,,,
30,1,8,100,87.11588421,,,,,,,,,,,
30,1,9,100,81.63411131,,,,,,,,,,,
,,,100,84.61084327,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
30,2,0,100,84.75950138,,,,,,,,,,,
30,2,1,100,84.63963466,,,,,,,,,,,
30,2,2,100,86.40882478,,,,,,,,,,,
30,2,3,100,91.18455263,,,,,,,,,,,
30,2,4,100,90.26793845,,,,,,,,,,,
30,2,5,100,84.51932931,,,,,,,,,,,
30,2,6,100,82.00531279,,,,,,,,,,,
30,2,7,100,89.9182453,,,,,,,,,,,
30,2,8,100,89.29359397,,,,,,,,,,,
30,2,9,100,89.99016931,,,,,,,,,,,
,,,100,87.29871026,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
30,4,0,100,88.30101712,,,,,,,,,,,
30,4,1,100,83.27460123,,,,,,,,,,,
30,4,2,100,90.42061716,,,,,,,,,,,
30,4,3,100,89.83284863,,,,,,,,,,,
30,4,4,100,87.45343219,,,,,,,,,,,
30,4,5,100,84.13179364,,,,,,,,,,,
30,4,6,100,88.26736036,,,,,,,,,,,
30,4,7,100,81.06629844,,,,,,,,,,,
30,4,8,100,89.9050413,,,,,,,,,,,
30,4,9,100,88.26518289,,,,,,,,,,,
,,,100,87.0918193,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
30,10,0,100,87.30060156,,,,,,,,,,,
30,10,1,100,87.47742344,,,,,,,,,,,
30,10,2,100,87.55076528,,,,,,,,,,,
30,10,3,100,90.77106524,,,,,,,,,,,
30,10,4,100,87.45646363,,,,,,,,,,,
30,10,5,100,86.25444159,,,,,,,,,,,
30,10,6,100,84.40568759,,,,,,,,,,,
30,10,7,100,89.66436872,,,,,,,,,,,
30,10,8,100,88.01327978,,,,,,,,,,,
30,10,9,100,86.32555165,,,,,,,,,,,
,,,100,87.52196485,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
40,1,0,100,79.48096987,,,,,,,,,,,
40,1,1,100,94.62479187,,,,,,,,,,,
40,1,2,100,91.82166822,,,,,,,,,,,
40,1,3,100,91.4077671,,,,,,,,,,,
40,1,4,100,94.23030881,,,,,,,,,,,
40,1,5,100,79.06877373,,,,,,,,,,,
40,1,6,100,91.56010964,,,,,,,,,,,
40,1,7,100,91.90420482,,,,,,,,,,,
40,1,8,100,94.58325713,,,,,,,,,,,
40,1,9,100,92.61878547,,,,,,,,,,,
,,,100,90.13006367,,,,,,,,,,,
회원가입 사진 장 수,로그인 사진 장 수,로그인 회차,인식률,분류율,,,,,,,,,,,
40,2,0,100,82.43230759,,,,,,,,,,,
40,2,1,100,92.10503928,,,,,,,,,,,
