¾ó±¼,ÀÎ½Ä Àå ¼ö, ÇÐ½À Àå ¼ö,È®·ü1,È®·ü2,È®·ü3,È®·ü4
¾ó±¼ 2,1,20,86.19980132,5.037181182,5.111740406,3.651277092
¾ó±¼ 2,1,30,89.57551974,4.051240167,3.654616796,2.718623297
¾ó±¼ 2,1,40,91.18747267,3.613202232,2.931807766,2.267517332
¾ó±¼ 2,2,10,73.12919609,9.747852068,10.40446755,6.718484288
¾ó±¼ 2,2,10,77.35133425,7.981371671,8.752935909,5.914358174
¾ó±¼ 2,2,20,85.12953005,5.155172733,5.24148233,4.473814888
¾ó±¼ 2,2,20,84.90092712,5.588862475,5.316392759,4.193817642
¾ó±¼ 2,2,30,86.97312216,5.130175886,5.232517981,2.664183974
¾ó±¼ 2,2,30,88.42263202,4.409916665,4.110231029,3.05722029
¾ó±¼ 2,2,40,91.57693341,3.184899973,3.34144124,1.896725379
¾ó±¼ 2,2,40,92.75485557,2.583440554,2.912206885,1.749496991
¾ó±¼ 2,4,10,75.38555759,9.36080854,8.482195314,6.771438554
¾ó±¼ 2,4,10,74.23843223,9.627095963,9.975379608,6.1590922
¾ó±¼ 2,4,10,73.53620772,9.194408319,10.74760842,6.521775538
¾ó±¼ 2,4,10,73.68355229,9.780090825,9.370880184,7.1654767
¾ó±¼ 2,4,20,85.12953005,5.155172733,5.24148233,4.473814888
¾ó±¼ 2,4,20,84.84397786,5.766114622,5.21520985,4.174697673
¾ó±¼ 2,4,20,83.62601432,6.160649999,6.643528308,3.569807374
¾ó±¼ 2,4,20,87.4210663,4.253894727,5.389735211,2.935303762
¾ó±¼ 2,4,30,88.94676847,4.219359441,4.220309844,2.613562242
¾ó±¼ 2,4,30,87.80043222,4.826500268,4.420118175,2.952949332
¾ó±¼ 2,4,30,89.46315069,4.406669067,3.27337753,2.856802716
¾ó±¼ 2,4,30,89.57551974,4.051240167,3.654616796,2.718623297
¾ó±¼ 2,4,40,91.20395864,3.36066626,3.357876359,2.077498739
¾ó±¼ 2,4,40,89.91707961,3.895585513,3.305634609,2.881700265
¾ó±¼ 2,4,40,89.28810263,4.014315131,4.040425711,2.657156525
¾ó±¼ 2,4,40,90.97167108,3.331272138,3.718726216,1.978330563
¾ó±¼ 2,10,10,73.984531,9.175153861,9.90674093,6.933574204
¾ó±¼ 2,10,10,76.35618021,8.002910409,9.491113208,6.149796178
¾ó±¼ 2,10,10,73.12919609,9.747852068,10.40446755,6.718484288
¾ó±¼ 2,10,10,71.84328367,10.12707329,9.848257268,8.18138577
¾ó±¼ 2,10,10,73.61139049,9.577599143,9.608332495,7.202677876
¾ó±¼ 2,10,10,74.52047329,8.932388805,10.26670171,6.280436196
¾ó±¼ 2,10,10,77.35133425,7.981371671,8.752935909,5.914358174
¾ó±¼ 2,10,10,73.53620772,9.194408319,10.74760842,6.521775538
¾ó±¼ 2,10,10,75.61452588,8.70342828,9.388421344,6.2936245
¾ó±¼ 2,10,10,73.71575924,9.054501175,9.562015506,7.667724075
¾ó±¼ 2,10,20,84.96808115,5.340123935,5.636941714,4.054853201
¾ó±¼ 2,10,20,83.42195549,6.061411798,5.555528403,4.96110431
¾ó±¼ 2,10,20,84.90092712,5.588862475,5.316392759,4.193817642
¾ó±¼ 2,10,20,82.68206711,6.146430724,6.57247273,4.599029436
¾ó±¼ 2,10,20,86.19980132,5.037181182,5.111740406,3.651277092
